Tool Name,Category,Description,Type,Best For,URL
Writefull,Academic Writing,AI-powered proofreading tool for scientific texts with Word/Overleaf integration,Freemium,"Language corrections, academic style",https://writefull.com
Paperpal,Academic Writing,"Comprehensive AI academic writing assistant with grammar checker, paraphraser, plagiarism checker",Freemium,"Research paper writing, journal submission checks",https://paperpal.com
Grammarly,Academic Writing,"Writing assistant for grammar, spelling, and style",Freemium,"General writing quality, clarity",https://www.grammarly.com
Academic Phrasebank,Academic Writing,Database of common academic phrases organized by paper sections,Free,Finding appropriate academic phrasing,http://www.phrasebank.manchester.ac.uk
Ref-n-Write,Academic Writing,Academic phrasebank and paraphrasing tool,Paid,Academic phrase suggestions,https://ref-n-write.com
Hemingway Editor,Writing Clarity,Highlights complex sentences and common errors,Freemium,Simplifying academic prose,https://hemingwayapp.com
Scrivener,Long-form Writing,Comprehensive writing software for complex projects with research organization,Paid ($49),"Dissertations, theses, books",https://www.literatureandlatte.com
Ulysses,Long-form Writing,"Clean, minimalist writing app for Mac/iOS users",Subscription,Distraction-free writing,https://ulysses.app
Todoist,Task Management,Task management and planning app,Freemium,Research task organization,https://todoist.com
Evernote,Note Taking,Note-taking and organization platform,Freemium,"Research notes, web clipping",https://evernote.com
Notion,All-in-One,"Workspace for notes, databases, wikis, and project management",Freemium,"Research organization, lab notebooks",https://www.notion.so
Thesify,Academic Feedback,"AI tool for feedback on structure, argumentation, and evidence use",Paid,Pre-submission checks,https://www.thesify.ai
Elicit,Literature Discovery,AI research assistant for literature discovery and evidence mapping,Freemium,"Literature reviews, finding papers",https://elicit.org
Connected Papers,Literature Discovery,Visualizes networks of related research papers,Freemium,Finding related work,https://www.connectedpapers.com
