Methodology,Type,Description,Key Steps,Common Tools,Disciplines
Systematic Review,Literature Review,"Structured, comprehensive literature search and synthesis","Protocol, search, screening, extraction, synthesis","Covidence, Rayyan, EPPI-Reviewer","Healthcare, social sciences"
Meta-Analysis,Quantitative Synthesis,Statistical combination of study results,"Data extraction, effect size calculation, heterogeneity assessment","R (metafor), RevMan, JASP","Medicine, psychology, education"
Grounded Theory,Qualitative Method,Theory development from systematic data collection,"Open coding, axial coding, selective coding, theory building","NVivo, MAXQDA, ATLAS.ti","Sociology, nursing, education"
Phenomenology,Qualitative Method,Study of lived experiences and consciousness,"Bracketing, data collection, thematic analysis","NVivo, MAXQDA","Philosophy, psychology, healthcare"
Case Study,Qualitative Method,In-depth investigation of single or multiple cases,"Case selection, data collection, within-case analysis, cross-case comparison","NVivo, Dedoose","Business, education, social sciences"
Ethnography,Qualitative Method,Study of cultures and social interactions,"Participant observation, field notes, interviews, cultural analysis","ATLAS.ti, NVivo, field journals","Anthropology, sociology"
Action Research,Applied Research,Participatory approach to solving practical problems,"Planning, action, observation, reflection (cyclical)","Project management tools, qualitative software","Education, organizational development"
Mixed Methods,Combined Approach,Integration of quantitative and qualitative methods,"Design selection, data collection, integration, interpretation","MAXQDA, Dedoose, statistical + QDA software","Health sciences, education, social sciences"
Randomized Controlled Trial (RCT),Experimental,Gold standard for causal inference,"Randomization, intervention, blinding, outcome measurement","REDCap, statistical software","Medicine, psychology"
Longitudinal Study,Observational,Repeated observations over time,"Cohort selection, repeated measurements, attrition management","Statistical software, data management systems","Epidemiology, developmental psychology"
Cross-Sectional Study,Observational,Snapshot of population at single time point,"Sampling, data collection, analysis","Survey tools, SPSS, R","Public health, sociology"
Scoping Review,Literature Review,Map available evidence on a topic,"Question formulation, searching, charting, summarizing","Covidence, Excel, qualitative software","Healthcare, social sciences"
Delphi Method,Consensus Building,Expert consensus through iterative surveys,"Expert panel, multiple rounds, consensus definition","Qualtrics, SurveyMonkey","Policy, healthcare, forecasting"
