Phase,Practice_Area,Practice_Name,Description,Implementation_Steps,Key_Tools,Success_Indicators,Common_Pitfalls,Timeline
Planning,Research Design,Define Research Questions,Establish clear, focused research questions before beginning,1. Review literature; 2. Identify gap; 3. Write specific questions; 4. Check clarity with advisor,Research journal; advisor; literature review database,Questions are specific; answerable; novel,Too broad; not testable; lack of focus,Month 1-2
Planning,Research Design,Create Research Protocol,Document detailed methodology and analysis plan,1. Write methods section; 2. Specify procedures; 3. Define outcomes; 4. Plan analysis,Word/LaTeX; statistical software; protocol templates,Clear procedures; defined measures; pre-analysis plan,Vague methods; flexible analysis; p-hacking opportunity,Month 1-3
Planning,Research Design,Register Protocol,Pre-register design with external registry for transparency,1. Choose registry (OSF; ClinicalTrials.gov); 2. Submit protocol; 3. Receive registration,OSF Registries; ClinicalTrials.gov; discipline-specific registries,Public registration; time-stamped; pre-analysis plan locked,Late registration; post-hoc registration; selective registration,Month 2-3
Planning,Ethics & Compliance,Obtain IRB Approval,Get institutional review for human subjects research,1. Complete CITI training; 2. Develop consent form; 3. Submit to IRB; 4. Respond to queries; 5. Receive approval,CITI training platform; IRB; protocol templates,IRB approval letter; documented consent process,Missed deadlines; incomplete submission; late review,Month 2-6
Planning,Timeline & Milestones,Create Project Timeline,Develop realistic schedule with milestones and deliverables,1. Break project into phases; 2. Estimate time per phase; 3. Identify dependencies; 4. Build in contingency; 5. Share with advisor,Project management software (Asana; Monday); Gantt charts; calendar,Written timeline; approved by advisor; slack built in,Unrealistic estimates; no contingency; dependent tasks not identified,Month 1-2
Data Collection,Documentation,Maintain Lab Notebook,Record decisions; procedures; rationale throughout research,1. Choose medium (physical or digital); 2. Record daily; 3. Document decisions; 4. Note deviations; 5. Date all entries,Lab notebook software (Notion; Obsidian); physical notebook,Complete record of decisions; dates; justifications,Incomplete recording; post-hoc documentation; illegible entries,Ongoing
Data Collection,Data Management,Implement Data Organization,Establish naming conventions and folder structure,1. Design naming scheme (date_project_description); 2. Create folder hierarchy; 3. Document structure in README; 4. Version all files,File management system; version control (Git); cloud storage,Consistent naming; logical structure; easy retrieval,Inconsistent naming; deep folders; unclear versions,Month 1
Data Collection,Data Management,Set Up Secure Storage,Establish 3-2-1 backup system for data protection,1. Identify primary working copy; 2. Set automated cloud backup; 3. Create external drive backup; 4. Test restoration; 5. Document process,Cloud storage (Google Drive; OneDrive; Dropbox); external drive; encryption,Multiple copies; different media; offsite copy; tested restoration,Single copy; no backup; untested backups,Month 1
Data Collection,Data Management,Create Data Dictionary,Document all variables; codes; units; and metadata,1. List all variables; 2. Describe each; 3. Specify units; 4. Document codes; 5. Note data source,Data dictionary template; CDISC standards; spreadsheet,Complete documentation of all variables; codes explained,Incomplete documentation; vague descriptions; missing units,Month 1 & Ongoing
Analysis,Analysis Planning,Pre-specify Analysis Plan,Define analysis approach before seeing results,1. Write analysis plan; 2. Define primary outcomes; 3. Specify statistical approaches; 4. Identify hypothesis vs. exploratory; 5. Preregister,Pre-registration template; OSF; protocol document,Written analysis plan; preregistered; primary/exploratory labeled,Flexible analysis; post-hoc exploration presented as primary; p-hacking,Month 2-4
Analysis,Version Control,Implement Code Version Control,Track changes to analysis code and scripts,1. Initialize Git repository; 2. Commit regularly; 3. Write meaningful messages; 4. Push to remote; 5. Tag releases,Git; GitHub; GitLab,Regular commits; meaningful messages; clean history,No version control; infrequent commits; vague messages,Month 2
Analysis,Reproducibility,Document Analysis Workflow,Record all analysis steps for reproducibility,1. Write commented code; 2. Document dependencies; 3. Create README; 4. Test reproducibility; 5. Share code,Code editor; documentation template; reproducibility checklist,Fully commented code; clear documentation; reproducible workflow,Uncommented code; missing dependencies; unclear steps,Month 3-5
