Requirement_ID,Category,Requirement_Name,Description,When_Needed,Key_Actions,Documentation,Responsible_Party,Timeline,Penalties_for_Non-Compliance,Resources
E001,Human Subjects,IRB Approval,Institutional Review Board review and approval for human subjects research,Any research involving human participants (interviews; surveys; observations; biosamples),1. Complete CITI training; 2. Develop protocol; 3. Write consent form; 4. Submit to IRB; 5. Respond to queries; 6. Receive approval,IRB approval letter; protocol summary; consent form,Primary investigator; Research team,Months 2-6 before data collection,Research suspension; disqualification; legal liability; publication rejection,CITI Training; IRB office; institutional policy; OHRP
E002,Human Subjects,Informed Consent,Ensure participants understand study and voluntarily agree,Any human subjects research,1. Provide clear explanation of purpose; 2. Describe procedures; 3. Explain risks/benefits; 4. Ensure voluntary; 5. Obtain signature or affirmation,Signed/documented consent; IRB approval; consent form copies,Research team; IRB,Before any data collection,Research suspension; publication rejection; legal liability,IRB guidelines; ICMJE standards; institutional templates
E003,Human Subjects,Confidentiality,Protect participant privacy and sensitive information,All human subjects research with identifiable data,1. De-identify data; 2. Use codes/ID numbers; 3. Maintain key separately; 4. Limit access; 5. Secure storage; 6. Document procedures,De-identification log; access log; code key (secured separately),Data manager; Research team,Ongoing throughout study,Legal liability; publication rejection; loss of trust; potential criminal charges
E004,Human Subjects,Vulnerable Populations,Additional protections for vulnerable groups (children; prisoners; pregnant women; fetuses; cognitively impaired),Research involving legally vulnerable or cognitively vulnerable populations,1. Develop additional safeguards; 2. Justify inclusion; 3. Minimize risk; 4. Seek assent; 5. Involve advocates if needed; 6. Enhance monitoring,IRB protocol with enhanced safeguards; documentation of vulnerability assessment,Primary investigator; IRB,Months 2-6; ongoing,Research suspension; additional penalties for vulnerable population harm
E005,Data,Data Protection & Security,Safeguard sensitive and personal information from unauthorized access,Research with sensitive data (health; financial; demographic; biometric),1. Implement encryption; 2. Use access control; 3. Apply de-identification; 4. Secure transmission; 5. Limit access; 6. Create audit trails,Encryption certificates; access logs; data handling plan; security audit results,IT; Data manager; Research team,Before data collection; ongoing,Data breach liability; fines under GDPR/HIPAA; publication rejection; legal liability
E006,Data,HIPAA Compliance,Health Insurance Portability and Accountability Act compliance for protected health information (PHI),Research with U.S. health data or health information,1. Complete HIPAA training; 2. Develop Business Associate Agreement if needed; 3. Use de-identification; 4. Implement safeguards; 5. Document compliance,HIPAA training certificate; BAA; de-identification documentation; compliance audit,Research team; Institutional compliance; IRB,Before accessing PHI,Fines ($100-$50,000 per violation); legal liability; publication rejection
E007,Data,GDPR Compliance,General Data Protection Regulation compliance for EU resident data,Research with data of EU residents,1. Conduct DPIA (Data Protection Impact Assessment); 2. Document legal basis; 3. Ensure consent; 4. Implement data subject rights; 5. Establish DPA; 6. Notify DPO,DPIA documentation; consent records; DPA; Data protection policy,Data controller (researcher); Institutional legal; Data Protection Officer,Before data collection,Fines up to €20 million or 4% global revenue; legal liability; publication rejection
E008,Conflict,Conflict of Interest,Identify and manage financial/personal interests that could bias research,All research with potential financial interests (funding source; employment; equity),1. Complete COI disclosure form; 2. Identify interests; 3. Develop management plan; 4. Recuse if necessary; 5. Document management; 6. Update annually,COI disclosure form; management plan; recusal documentation,Primary investigator; Institutional COI office,Before study initiation; annually,Publication rejection; retraction; loss of funding; reputation damage; legal action
E009,Publication,Publication Ethics,Ensure ethical publication practices and responsible dissemination,All publications,1. Disclose funding; 2. Declare author contributions; 3. Declare COI; 4. Provide data availability; 5. Avoid plagiarism; 6. Proper attribution; 7. Respect embargoes,Publication manuscript; declarations; data availability statement; funding acknowledgment,Authors; Corresponding author; Journal editor,At manuscript submission,Publication rejection; retraction; authorship disputes; career damage; legal liability
E010,Publication,Authorship,Ensure fair recognition and documentation of contributor contributions,All publications with multiple contributors,1. Discuss authorship criteria upfront; 2. Document contributions; 3. Use CRediT taxonomy; 4. Obtain agreement; 5. Update as needed,Authorship agreement; CRediT statement; acknowledgments,All authors; Corresponding author,Before manuscript submission; revisit periodically,Authorship disputes; publication retraction; reputation damage; legal action
E011,Publication,Plagiarism Prevention,Avoid reproducing others' work without attribution,All writing and publications,1. Cite sources correctly; 2. Use quotation marks; 3. Paraphrase with citation; 4. Use plagiarism checker; 5. Train on proper attribution; 6. Maintain source records,Plagiarism check report; source documentation; properly cited manuscript,All authors; Students,Throughout writing process,Publication rejection; retraction; dismissal; loss of degree; reputation damage; legal liability
E012,Research,Research Integrity,Conduct research honestly without fabrication; falsification; or deception,All research,1. Follow research protocols; 2. Document decisions; 3. Avoid p-hacking; 4. Pre-register analysis; 5. Report null findings; 6. Respond to inconsistencies; 7. Seek guidance when uncertain,Lab notebook; protocol documentation; preregistration; analysis plan; communication records,All research team,Throughout research conduct,Retraction; loss of funding; career termination; legal action; institutional sanctions
E013,Animal,Animal Care,Ethical use of animals in research (if applicable),Research using animals in experiments,1. Complete IACUC training; 2. Submit protocol to IACUC; 3. Justify animal use; 4. Minimize harm/distress; 5. Use alternatives when possible; 6. Ensure humane euthanasia if needed,IACUC approval letter; protocol; training certificate; vet oversight documentation,Primary investigator; IACUC committee; Veterinarian,Before study initiation; ongoing monitoring,Research suspension; legal liability; publication rejection; facility inspection findings
